x;t3
0.0990339269478816;aa
0.986562122144554;aa
-0.0119906201899978;aa
2.63682132273633;aa
-0.173849970288827;aa
1.39802524736902;aa
-1.81406930334454;aa
-1.31400291851675;aa
-0.504903628357537;aa
0.0789389623569165;aa
-0.232656149697094;aa
-0.0509891157823512;aa
-0.418154700684709;aa
1.24399043201721;aa
-0.0585678209438767;aa
-1.59052977545556;aa
0.668981761796356;aa
1.96830025114865;aa
-1.91202144807359;aa
-1.92995539999509;aa
0.974660613040461;aa
-0.164998711269691;aa
1.10537105188245;aa
0.353227030184992;aa
0.888926591855153;aa
-1.26235365648426;bb
2.14853574649564;bb
1.26678667671227;bb
-4.12364197340193;bb
-4.01049956623332;bb
2.68321735068156;bb
4.93847237038934;bb
-6.27220112670129;bb
2.4046399270829;bb
2.12240374608693;bb
-4.06700758266401;bb
-3.37121814520468;bb
-2.93955097775852;bb
-1.03704795230796;bb
2.68553989838992;bb
-4.79074483414858;bb
5.73630963810382;bb
-3.95836883262902;bb
5.61985515232011;bb
-2.33453929795741;bb
-3.86095075597244;bb
-1.77677807489028;bb
3.31029583132966;bb
-5.55655238177878;bb
-6.8777998684546;bb
4.08917945856265;bb
-0.89807434601543;bb
5.32643651018209;bb
12.7327645834847;bb
-0.88914087576859;bb
-6.71392042116798;bb
5.53173486420935;bb
0.778346749569494;bb
-13.4385194029353;bb
-4.15835886131679;bb
-2.94749629027268;bb
0.297634600401344;bb
1.51014624329254;bb
5.09576569212835;bb
4.99008754828898;bb
3.76059765257758;bb
3.08903474077387;bb
-10.3559867100362;bb
7.73184425835312;bb
5.24345219107038;bb
-3.14565937580879;bb
3.09798983366693;bb
-5.26834617787583;bb
0.0617569349776724;bb
-3.51158731968415;bb
-3.92538838120082;bb
2.07202649901775;bb
-6.99096193992896;bb
6.76805645748941;bb
4.36551196678617;bb
-1.92210833202908;bb
1.15486896801338;bb
6.86776989384844;bb
-8.61366703355852;bb
1.15374041477177;bb
0.21678732615568;bb
-3.74205370593999;bb
-3.06558226387392;bb
0.439410847587058;bb
-1.07856413266038;bb
1.69171804516202;bb
0.657152895793688;bb
5.68080492730185;bb
0.943830616970722;bb
-2.21591005819616;bb
-9.23358536234981;bb
-3.68029603942748;bb
-7.66900365917702;bb
7.49886747618813;bb
1.1883393182303;bb
